file,start_time,end_time,KAAM_song,KAAM_call,?_KAAM_song,?,?_KAAM_call
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,0.0,3.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,1.5,4.5,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,3.0,6.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,4.5,7.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,6.0,9.0,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,7.5,10.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,9.0,12.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,10.5,13.5,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,12.0,15.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,13.5,16.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,15.0,18.0,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,16.5,19.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,18.0,21.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,19.5,22.5,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,21.0,24.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,22.5,25.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,24.0,27.0,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5118.wav,25.5,28.5,1,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5814.wav,0.0,3.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5814.wav,1.5,4.5,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5814.wav,3.0,6.0,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5814.wav,4.5,7.5,0,0,0,0,0
/home/dah238/Kauai-Amakihi (GIT)/Audio/Macaulay Focal Recordings/5814.wav,6.0,9.0,0,0,0,0,0
